LSOA_name,Total_POI_count,pub,cafe,fast_food,school,bus_stop,post_box,restaurant,telephone,supermarket,convenience
E01033725,13,1.0,0,0,4,7,1,0.0,0.0,0.0,0
E01033341,13,0.0,0,2,0,5,2,1.0,1.0,1.0,1
E01000755,12,0.0,0,0,0,11,1,0.0,0.0,0.0,0
E01001278,12,0.0,1,0,1,7,3,0.0,0.0,0.0,0
E01002066,12,0.0,2,0,1,6,0,2.0,0.0,0.0,1
E01002967,12,2.0,0,0,1,7,2,0.0,0.0,0.0,0
E01000535,12,0.0,0,0,2,6,2,0.0,0.0,1.0,1
E01001117,12,0.0,0,1,3,1,2,2.0,0.0,0.0,3
E01003174,12,0.0,0,1,2,5,0,0.0,2.0,0.0,2
E01003211,12,1.0,0,0,2,3,2,1.0,3.0,0.0,0
E01003230,12,0.0,0,2,1,2,4,0.0,1.0,0.0,2
E01004708,12,0.0,2,0,1,4,3,0.0,2.0,0.0,0
E01002007,12,1.0,3,1,0,2,2,2.0,0.0,1.0,0
E01003445,12,0.0,1,0,0,7,4,0.0,0.0,0.0,0
E01004370,12,0.0,1,0,2,4,2,1.0,0.0,0.0,2
E01003272,12,0.0,1,3,0,2,1,1.0,1.0,1.0,2
E01000838,12,0.0,1,1,2,2,3,1.0,1.0,0.0,1
E01000365,12,0.0,1,2,2,6,1,0.0,0.0,0.0,0
E01003312,12,1.0,0,0,2,5,3,0.0,0.0,1.0,0
E01002793,12,0.0,3,2,1,4,0,0.0,2.0,0.0,0
E01000508,12,0.0,1,1,1,6,3,0.0,0.0,0.0,0
E01002176,12,0.0,0,1,0,3,1,3.0,2.0,0.0,2
E01000823,12,2.0,1,0,0,0,4,3.0,1.0,0.0,1
E01004034,12,1.0,1,1,0,4,2,0.0,0.0,1.0,2
E01003435,12,0.0,0,0,0,8,3,1.0,0.0,0.0,0
E01032787,12,1.0,0,1,1,2,3,0.0,1.0,0.0,3
E01000678,12,1.0,0,2,0,2,4,2.0,0.0,1.0,0
E01001686,12,0.0,0,0,1,8,3,0.0,0.0,0.0,0
E01001560,12,0.0,0,0,2,8,2,0.0,0.0,0.0,0
E01002490,12,1.0,0,0,1,9,1,0.0,0.0,0.0,0
E01032778,12,0.0,2,0,1,4,1,3.0,0.0,0.0,1
E01001233,12,1.0,1,1,1,2,2,0.0,2.0,1.0,1
E01001544,12,0.0,0,0,3,7,1,0.0,0.0,1.0,0
E01001511,12,1.0,1,0,0,8,1,0.0,0.0,1.0,0
E01001071,12,0.0,0,0,1,9,2,0.0,0.0,0.0,0
E01003007,12,1.0,0,0,0,6,2,1.0,1.0,0.0,1
E01001775,12,2.0,0,0,1,5,1,2.0,0.0,0.0,1
E01001784,12,0.0,1,1,2,4,1,0.0,1.0,0.0,2
E01001994,12,0.0,1,1,0,2,5,2.0,0.0,1.0,0
E01004205,12,0.0,1,3,2,2,1,0.0,0.0,0.0,3
E01002530,12,1.0,0,0,2,8,0,0.0,0.0,0.0,1
E01004513,12,1.0,1,0,0,3,1,0.0,5.0,1.0,0
E01002276,12,0.0,0,0,2,9,1,0.0,0.0,0.0,0
E01002317,12,0.0,0,0,1,8,3,0.0,0.0,0.0,0
E01002615,12,1.0,0,0,2,8,0,0.0,0.0,0.0,1
E01000280,11,0.0,0,1,0,7,3,0.0,0.0,0.0,0
E01000408,11,1.0,0,0,1,8,1,0.0,0.0,0.0,0
E01033705,11,1.0,0,0,1,6,2,0.0,0.0,0.0,1
E01002448,11,2.0,0,0,1,5,1,0.0,1.0,1.0,0
E01002553,11,0.0,0,3,0,5,0,0.0,0.0,0.0,3
E01002577,11,0.0,1,1,0,0,3,4.0,0.0,0.0,2
E01032777,11,0.0,2,1,0,2,3,1.0,0.0,1.0,1
E01000239,11,0.0,4,0,2,4,0,1.0,0.0,0.0,0
E01003326,11,1.0,0,0,1,3,2,2.0,0.0,2.0,0
E01000197,11,0.0,1,0,0,6,2,0.0,0.0,0.0,2
E01001061,11,0.0,1,0,2,7,1,0.0,0.0,0.0,0
E01002885,11,1.0,2,0,2,2,2,1.0,0.0,0.0,1
E01000212,11,0.0,0,0,0,7,4,0.0,0.0,0.0,0
E01001022,11,1.0,0,0,1,8,1,0.0,0.0,0.0,0
E01003114,11,2.0,1,1,0,5,1,0.0,0.0,1.0,0
E01002279,11,0.0,0,0,2,9,0,0.0,0.0,0.0,0
